Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,Overfitting %
Linear Regression,65261.26690382733,118729.6729557337,23316.892162640976,25006.68498252396,0.14055206445990875,0.03735748172175268,10.319458273815608
Ridge,65261.26690382799,118729.67317141911,23316.8894239916,25006.68170135171,0.14055206445989132,0.037357478224262275,10.319458623562905
Lasso,65261.26690473641,118729.66520173635,23316.85717899459,25006.660674636838,0.1405520644359648,0.037357607458261555,10.319445697770323
Random Forest,21392.1014632932,116617.93337022964,4647.644345696643,14759.0227253165,0.9076545564786652,0.07129629428532946,83.63582621933358
Gradient Boosting,3642.8052066219293,122906.45491346474,2686.699834027326,15165.246112384562,0.9973221856214655,-0.03156329586582296,102.88854814872886
